signifier,yes_count,no_count,prevalence_per_10k,earliest_obs_date,latest_obs_date
human,1036,5,9952,2025-07-08,2026-07-04
English speaker,346,5,9858,2025-07-08,2026-07-03
person,346,6,9830,2025-07-10,2026-06-29
American,7292,167,9776,2025-07-08,2026-07-04
honest,1027,35,9670,2025-07-08,2026-07-04
Google user,355,20,9467,2025-07-12,2026-07-03
reliable,328,21,9398,2025-07-08,2026-07-04
loyal,374,24,9397,2025-07-09,2026-07-03
supportive,316,24,9294,2025-07-13,2026-07-02
careful,939,80,9215,2025-07-08,2026-07-04
friend,6879,594,9205,2025-07-08,2026-07-04
kind,345,30,9200,2025-07-08,2026-07-03
thinker,306,27,9189,2025-07-08,2026-07-04
friendly,958,92,9124,2025-07-08,2026-07-04
YouTube user,326,32,9106,2025-07-08,2026-07-03
practical,332,34,9071,2025-07-08,2026-07-03
freedom lover,318,37,8958,2025-07-08,2026-07-04
peaceful,291,35,8926,2025-07-08,2026-07-04
grateful,298,36,8922,2025-07-08,2026-07-03
compassionate,964,122,8877,2025-07-08,2026-07-04
self-reliant,291,40,8792,2025-07-09,2026-07-02
curious,6600,913,8785,2025-07-08,2026-07-04
determined,280,39,8777,2025-07-09,2026-07-04
liked,312,44,8764,2025-07-22,2026-07-04
lifelong learner,297,42,8761,2025-07-09,2026-07-04
empathetic,918,131,8751,2025-07-08,2026-07-04
consistent,314,50,8626,2025-07-08,2026-07-04
calm,6370,1068,8564,2025-07-08,2026-07-04
smart,311,53,8544,2025-07-10,2026-07-04
modest,301,53,8503,2025-07-08,2026-07-04
food lover,326,58,8490,2025-07-08,2026-07-04
sibling,302,55,8459,2025-07-09,2026-07-04
nature lover,296,54,8457,2025-07-08,2026-07-04
cautious,915,173,8410,2025-07-08,2026-07-04
resilient,312,69,8189,2025-07-08,2026-07-04
independent,914,204,8175,2025-07-08,2026-07-04
voter,5664,1303,8130,2025-07-08,2026-07-04
reader,283,67,8086,2025-07-09,2026-07-04
visual learner,283,69,8040,2025-07-08,2026-07-04
Microsoft user,292,73,8000,2025-07-08,2026-07-03
efficient,288,72,8000,2025-07-10,2026-07-04
relaxed,268,69,7953,2025-07-08,2026-07-04
hopeful,816,216,7907,2025-07-08,2026-07-04
comedy fan,302,80,7906,2025-07-08,2026-07-04
contemplative,289,79,7853,2025-07-10,2026-07-03
family-oriented,842,234,7825,2025-07-08,2026-07-04
healthy,5687,1597,7808,2025-07-08,2026-07-04
respected,250,72,7764,2025-07-22,2026-07-04
forgiving,272,79,7749,2025-07-09,2026-07-04
Windows user,852,253,7710,2025-07-08,2026-07-04
happy,5607,1687,7687,2025-07-08,2026-07-04
team player,274,83,7675,2025-07-08,2026-07-04
movie lover,5722,1735,7673,2025-07-08,2026-07-04
generous,249,76,7662,2025-07-10,2026-07-04
employed,821,255,7630,2025-07-08,2026-07-04
organized,300,95,7595,2025-07-08,2026-07-04
Independent,266,87,7535,2025-07-08,2026-07-04
quiet,250,82,7530,2025-07-10,2026-07-04
driver,271,91,7486,2025-07-10,2026-07-04
fun,772,268,7423,2025-07-08,2026-07-04
opinionated,264,92,7416,2025-07-08,2026-07-04
pro-choice,257,90,7406,2025-07-08,2026-07-04
funny,802,281,7405,2025-07-08,2026-07-04
bargain hunter,268,94,7403,2025-07-09,2026-07-04
planner,250,90,7353,2025-07-10,2026-06-30
creative,809,296,7321,2025-07-08,2026-07-04
optimistic,764,284,7290,2025-07-08,2026-07-04
Reddit user,243,92,7254,2025-07-08,2026-07-04
reserved,264,100,7253,2025-07-11,2026-07-04
wise,257,99,7219,2025-07-08,2026-07-03
Netflix user,248,96,7209,2025-07-10,2026-07-04
thrifty,749,293,7188,2025-07-08,2026-07-04
monogamist,240,94,7186,2025-07-12,2026-07-04
film lover,249,100,7135,2025-07-08,2026-07-04
content,725,293,7122,2025-07-08,2026-07-04
